ticker,has_signal_today,last_date,most_recent_signal_date,signals_in_lookback,relative_strength,rank
COHR,True,2026-06-03,2026-06-03,10,48.77621425566731,1
FANG,True,2026-06-03,2026-06-03,3,6.684032547758378,2
ETN,True,2026-06-03,2026-06-03,8,5.279735083633907,3
BXP,True,2026-06-03,2026-06-03,7,2.580042277651806,4
EQIX,True,2026-06-03,2026-06-03,8,1.2691102257099685,5
IEX,True,2026-06-03,2026-06-03,6,-1.3943542315430157,6
NDSN,True,2026-06-03,2026-06-03,11,-5.143758803573761,7
D,True,2026-06-03,2026-06-03,7,-7.027560346156658,8
KIM,True,2026-06-03,2026-06-03,4,-8.745690223725022,9
LII,True,2026-06-03,2026-06-03,5,-10.70748508222632,10
