ticker,has_signal_today,last_date,most_recent_signal_date,signals_in_lookback,relative_strength,rank
MAR,True,2026-02-04,2026-02-04,5,8.127156683073288,1
FRT,True,2026-02-04,2026-02-04,7,6.09015934349848,2
BK,True,2026-02-04,2026-02-04,10,5.75022606631852,3
LII,True,2026-02-04,2026-02-04,13,1.2098550240793537,4
STT,True,2026-02-04,2026-02-04,14,0.8388803516280907,5
REGN,True,2026-02-04,2026-02-04,6,-0.14643053099718806,6
UDR,True,2026-02-04,2026-02-04,8,-1.2063833906414634,7
ZTS,True,2026-02-04,2026-02-04,7,-2.7687933577701496,8
CPT,True,2026-02-04,2026-02-04,8,-5.011763975435746,9
BAX,True,2026-02-04,2026-02-04,6,-8.306737094617167,10
