ticker,has_signal_today,last_date,most_recent_signal_date,signals_in_lookback,relative_strength,rank
MU,True,2026-03-13,2026-03-13,8,85.71614046111766,1
MSI,True,2026-03-13,2026-03-13,3,32.481054167270806,2
TGT,True,2026-03-13,2026-03-13,8,22.581539243948324,3
OKE,True,2026-03-13,2026-03-13,10,22.447925344916285,4
LIN,True,2026-03-13,2026-03-13,14,19.067642156409104,5
AEE,True,2026-03-13,2026-03-13,8,16.780497548956895,6
NEE,True,2026-03-13,2026-03-13,7,16.534769449884855,7
RTX,True,2026-03-13,2026-03-13,7,16.108729180416724,8
WEC,True,2026-03-13,2026-03-13,7,14.76043829129685,9
WMT,True,2026-03-13,2026-03-13,11,12.059345948378875,10
SRE,True,2026-03-13,2026-03-13,13,10.632487051217531,11
