Date,Adj Close,Close,High,Low,Open,Volume
2022-01-03,118.28343200683594,136.8000030517578,136.94000244140625,133.6300048828125,135.3699951171875,735200.0
2022-01-04,119.81385803222656,138.57000732421875,139.67999267578125,136.5399932861328,136.8000030517578,774400.0
2022-01-05,121.92354583740234,141.00999450683594,142.07000732421875,138.82000732421875,138.82000732421875,909200.0
2022-01-06,122.22621154785156,141.36000061035156,142.72000122070312,140.6699981689453,140.9499969482422,753800.0
2022-01-07,123.94684600830078,143.35000610351562,143.6699981689453,141.24000549316406,142.07000732421875,747700.0
2022-01-10,123.88630676269531,143.27999877929688,144.88999938964844,142.6199951171875,143.72999572753906,862500.0
2022-01-11,122.87470245361328,142.11000061035156,143.72999572753906,139.47000122070312,143.72999572753906,536500.0
2022-01-12,121.76793670654297,140.8300018310547,142.91000366210938,140.22999572753906,141.00999450683594,678600.0
2022-01-13,123.64419555664062,143.0,144.1199951171875,140.7899932861328,141.10000610351562,566400.0
2022-01-14,125.50320434570312,145.14999389648438,145.49000549316406,142.35000610351562,142.75,675300.0
2022-01-18,125.67613983154297,145.35000610351562,145.82000732421875,142.86000061035156,144.47000122070312,779200.0
2022-01-19,123.99006652832031,143.39999389648438,145.75999450683594,143.13999938964844,145.27999877929688,911500.0
2022-01-20,122.03596496582031,141.13999938964844,143.57000732421875,141.0,143.57000732421875,815800.0
2022-01-21,123.83442687988281,143.22000122070312,143.72999572753906,141.72000122070312,142.94000244140625,658000.0
2022-01-24,122.7968978881836,142.02000427246094,145.02999877929688,138.82000732421875,143.36000061035156,881900.0
2022-01-25,120.531494140625,139.39999389648438,141.75,138.52000427246094,141.5800018310547,1121800.0
2022-01-26,118.78490447998047,137.3800048828125,140.33999633789062,136.64999389648438,138.42999267578125,919200.0
2022-01-27,120.17697143554688,138.99000549316406,140.6300048828125,137.6699981689453,138.1199951171875,599500.0
2022-01-28,121.49989318847656,140.52000427246094,140.6300048828125,137.3000030517578,138.5,599900.0
2022-01-31,121.55180358886719,140.5800018310547,141.57000732421875,139.0,139.5399932861328,1712100.0
2022-02-01,119.7532958984375,138.5,140.9199981689453,136.72999572753906,140.61000061035156,875700.0
2022-02-02,120.6871109008789,139.5800018310547,140.72999572753906,138.10000610351562,138.10000610351562,806000.0
2022-02-03,121.37882232666016,140.3800048828125,141.6300048828125,139.0800018310547,140.19000244140625,514500.0
2022-02-04,118.34393310546875,136.8699951171875,139.6999969482422,135.9499969482422,139.49000549316406,587400.0
2022-02-07,118.54279327392578,137.10000610351562,137.86000061035156,135.85000610351562,137.33999633789062,493600.0
2022-02-08,118.015380859375,136.49000549316406,137.86000061035156,135.8699951171875,137.1999969482422,659000.0
2022-02-09,118.06727600097656,136.5500030517578,137.27999877929688,136.24000549316406,136.33999633789062,527700.0
2022-02-10,116.35147094726562,133.58999633789062,136.24000549316406,133.25,135.3000030517578,624900.0
2022-02-11,119.042724609375,136.67999267578125,137.25,133.86000061035156,133.8699951171875,661400.0
2022-02-14,119.69595336914062,137.42999267578125,138.25,134.4600067138672,136.75999450683594,963400.0
2022-02-15,118.52887725830078,136.08999633789062,138.11000061035156,135.39999389648438,137.3800048828125,621200.0
2022-02-16,118.20659637451172,135.72000122070312,137.47999572753906,133.8800048828125,135.99000549316406,954700.0
2022-02-17,120.47982788085938,138.3300018310547,139.10000610351562,134.9199981689453,135.72000122070312,1082300.0
2022-02-18,121.05464172363281,138.99000549316406,139.4600067138672,137.08999633789062,137.82000732421875,604100.0
2022-02-22,120.74981689453125,138.63999938964844,139.99000549316406,137.1300048828125,139.47999572753906,745200.0
2022-02-23,119.23432922363281,136.89999389648438,139.83999633789062,136.5500030517578,139.4499969482422,797500.0
2022-02-24,116.50826263427734,133.77000427246094,136.49000549316406,130.7100067138672,135.91000366210938,1025000.0
2022-02-25,119.5566177368164,137.27000427246094,138.08999633789062,134.4600067138672,134.4600067138672,893800.0
2022-02-28,117.36177825927734,134.75,136.05999755859375,133.42999267578125,135.1699981689453,1245800.0
2022-03-01,110.01959228515625,126.31999969482422,131.86000061035156,125.06999969482422,130.5,1865300.0
2022-03-02,113.83438873291016,130.6999969482422,131.0,124.88999938964844,125.05999755859375,1692900.0
