Date,Adj Close,Close,High,Low,Open,Volume
2024-01-02,159.68006896972656,172.91000366210938,172.99000549316406,169.19000244140625,169.52000427246094,5743100.0
2024-01-03,159.7169952392578,172.9499969482422,175.1999969482422,172.6999969482422,175.0,5588200.0
2024-01-04,158.35025024414062,171.47000122070312,173.52999877929688,170.5800018310547,171.61000061035156,6283200.0
2024-01-05,156.0137939453125,168.94000244140625,171.57000732421875,167.55999755859375,171.57000732421875,5252500.0
2024-01-08,156.1708221435547,169.11000061035156,169.72999572753906,167.7899932861328,168.94000244140625,5735600.0
2024-01-09,154.37924194335938,167.1699981689453,167.88999938964844,165.92999267578125,167.7899932861328,6268800.0
2024-01-10,154.1483917236328,166.9199981689453,167.9600067138672,166.1999969482422,166.58999633789062,4394900.0
2024-01-11,153.41883850097656,166.1300048828125,167.13999938964844,164.82000732421875,167.13999938964844,4800700.0
2024-01-12,154.47161865234375,167.27000427246094,167.3800048828125,165.57000732421875,166.33999633789062,3546100.0
2024-01-16,153.45574951171875,166.1699981689453,167.52000427246094,165.19000244140625,167.27000427246094,4576600.0
2024-01-17,153.70510864257812,166.44000244140625,166.72999572753906,165.44000244140625,165.99000549316406,4392300.0
2024-01-18,154.37924194335938,167.1699981689453,167.27999877929688,164.99000549316406,165.47000122070312,4709400.0
2024-01-19,153.0955810546875,165.77999877929688,167.24000549316406,165.57000732421875,167.13999938964844,6528600.0
2024-01-22,152.4768524169922,165.11000061035156,166.7100067138672,165.02000427246094,165.9600067138672,5697400.0
2024-01-23,154.81329345703125,167.63999938964844,167.92999267578125,164.36000061035156,164.55999755859375,4932700.0
2024-01-24,152.92938232421875,165.60000610351562,167.74000549316406,165.52000427246094,167.63999938964844,4984700.0
2024-01-25,153.81588745117188,166.55999755859375,166.60000610351562,164.94000244140625,165.80999755859375,5373800.0
2024-01-26,155.01646423339844,167.86000061035156,168.02999877929688,166.60000610351562,166.60000610351562,4849000.0
2024-01-29,155.2842559814453,168.14999389648438,168.6999969482422,167.38999938964844,167.52999877929688,5713600.0
2024-01-30,156.64178466796875,169.6199951171875,169.6999969482422,167.32000732421875,167.6699981689453,4804200.0
2024-01-31,155.63519287109375,168.52999877929688,170.3800048828125,167.8800048828125,169.9600067138672,5769200.0
2024-02-01,158.56260681152344,171.6999969482422,171.8000030517578,167.1699981689453,168.52999877929688,4920800.0
2024-02-02,157.8885040283203,170.97000122070312,171.9600067138672,170.10000610351562,171.24000549316406,5307700.0
2024-02-05,157.8423309326172,170.9199981689453,171.5800018310547,169.0500030517578,170.5500030517578,5142700.0
2024-02-06,158.30409240722656,171.4199981689453,171.8300018310547,169.94000244140625,171.4499969482422,5182700.0
2024-02-07,158.35025024414062,171.47000122070312,172.89999389648438,171.3800048828125,172.6300048828125,5769700.0
2024-02-08,160.54815673828125,173.85000610351562,174.10000610351562,171.41000366210938,171.72000122070312,9269700.0
2024-02-09,154.8409881591797,167.6699981689453,171.38999938964844,166.97000122070312,171.1999969482422,12731700.0
2024-02-12,157.55604553222656,170.61000061035156,171.07000732421875,167.1999969482422,167.86000061035156,7867500.0
2024-02-13,155.95843505859375,168.8800048828125,171.4499969482422,167.24000549316406,171.22000122070312,7302000.0
2024-02-14,154.7024688720703,167.52000427246094,168.63999938964844,166.05999755859375,168.33999633789062,5731900.0
2024-02-15,155.01646423339844,167.86000061035156,168.3699951171875,166.67999267578125,167.9499969482422,4451400.0
2024-02-16,153.59429931640625,166.32000732421875,167.41000366210938,165.67999267578125,167.2100067138672,5246000.0
2024-02-20,155.7460174560547,168.64999389648438,169.52000427246094,167.19000244140625,167.74000549316406,6117900.0
2024-02-21,155.91224670410156,168.8300018310547,170.17999267578125,167.86000061035156,169.9499969482422,4192600.0
2024-02-22,155.3766326904297,168.25,168.8300018310547,166.10000610351562,167.63999938964844,7539200.0
2024-02-23,156.62332153320312,169.60000610351562,170.25,167.8000030517578,167.94000244140625,6409800.0
2024-02-26,155.38584899902344,168.25999450683594,169.4199981689453,167.7100067138672,169.4199981689453,3837000.0
2024-02-27,155.29348754882812,168.16000366210938,168.22000122070312,167.35000610351562,167.82000732421875,3567600.0
2024-02-28,154.2499542236328,167.02999877929688,168.5,166.4499969482422,168.1199951171875,5275300.0
2024-02-29,153.85446166992188,165.33999633789062,166.67999267578125,164.91000366210938,166.2100067138672,8489400.0
