Date,Adj Close,Close,High,Low,Open,Volume
2022-01-03,159.62200927734375,168.2100067138672,168.39999389648438,164.39999389648438,164.50999450683594,3236400.0
2022-01-04,164.74627685546875,173.61000061035156,174.0500030517578,169.60000610351562,169.72000122070312,4799500.0
2022-01-05,162.99070739746094,171.75999450683594,176.30999755859375,171.5,174.7100067138672,4491900.0
2022-01-06,164.4843292236328,172.89999389648438,173.69000244140625,169.75,172.5399932861328,2649400.0
2022-01-07,165.89224243164062,174.3800048828125,175.36000061035156,171.86000061035156,172.49000549316406,3043000.0
2022-01-10,165.28343200683594,173.74000549316406,176.2100067138672,170.5,176.2100067138672,4269400.0
2022-01-11,166.84365844726562,175.3800048828125,175.72000122070312,172.49000549316406,174.5399932861328,2762700.0
2022-01-12,165.9779052734375,174.47000122070312,176.82000732421875,174.1699981689453,176.22999572753906,3224300.0
2022-01-13,164.8553466796875,173.2899932861328,176.3800048828125,172.85000610351562,174.9199981689453,3808800.0
2022-01-14,160.20330810546875,168.39999389648438,168.7100067138672,164.7100067138672,168.7100067138672,6508500.0
2022-01-18,158.0819091796875,166.1699981689453,168.94000244140625,164.83999633789062,167.91000366210938,4336300.0
2022-01-19,153.5345458984375,161.38999938964844,166.72999572753906,161.1699981689453,166.72999572753906,3592000.0
2022-01-20,153.08738708496094,160.9199981689453,164.57000732421875,159.4600067138672,161.1199951171875,4205600.0
2022-01-21,151.01353454589844,158.74000549316406,161.8800048828125,157.67999267578125,159.9499969482422,3779100.0
2022-01-24,151.1942901611328,158.92999267578125,159.4499969482422,152.85000610351562,155.82000732421875,5405000.0
2022-01-25,164.68406677246094,173.11000061035156,174.47000122070312,159.66000366210938,166.13999938964844,13320800.0
2022-01-26,166.78652954101562,175.32000732421875,179.22000122070312,173.02999877929688,176.9499969482422,8257300.0
2022-01-27,163.53298950195312,171.89999389648438,178.1999969482422,170.6300048828125,176.6999969482422,3649900.0
2022-01-28,168.4418182373047,177.05999755859375,177.2100067138672,169.77000427246094,171.75999450683594,4271500.0
2022-01-31,171.0675048828125,179.82000732421875,180.1300048828125,175.22000122070312,175.91000366210938,5524300.0
