ticker,has_signal_today,last_date,most_recent_signal_date,signals_in_lookback,relative_strength,rank
KMI,True,2026-01-08,2026-01-08,12,30.059396358142898,1
EIX,True,2026-01-08,2026-01-08,9,25.328874705100723,2
CHD,True,2026-01-08,2026-01-08,5,15.549499678730427,3
YUM,True,2026-01-08,2026-01-08,7,9.33923402540968,4
CB,True,2026-01-08,2026-01-08,7,9.315431735224644,5
GWW,True,2026-01-08,2026-01-08,9,9.287174341607818,6
WY,True,2026-01-08,2026-01-08,7,4.813315652217964,7
FTV,True,2026-01-08,2026-01-08,10,4.231809562350531,8
HIG,True,2026-01-08,2026-01-08,6,3.2480122327717242,9
GL,True,2026-01-08,2026-01-08,9,2.9115213201816426,10
ACGL,True,2026-01-08,2026-01-08,5,2.8576784668842836,11
RL,True,2026-01-08,2026-01-08,8,1.8338200217181577,12
BRK-B,True,2026-01-08,2026-01-08,13,1.5751631596860438,13
EG,True,2026-01-08,2026-01-08,4,1.4867890796637417,14
SPG,True,2026-01-08,2026-01-08,11,0.7520253855245684,15
CTAS,True,2026-01-08,2026-01-08,9,-1.0600205286392272,16
MRSH,True,2026-01-08,2026-01-08,8,-1.8562403770261304,17
AVY,True,2026-01-08,2026-01-08,9,-3.9055661016855203,18
ROL,True,2026-01-08,2026-01-08,12,-6.654232101593016,19
BRO,True,2026-01-08,2026-01-08,5,-12.165754020250063,20
PAYX,True,2026-01-08,2026-01-08,8,-15.163665321293962,21
