ticker,has_signal_today,last_date,most_recent_signal_date,signals_in_lookback,relative_strength,rank
ODFL,True,2026-02-26,2026-02-26,8,40.70022552658812,1
SW,True,2026-02-26,2026-02-26,7,29.023219569624082,2
JBHT,True,2026-02-26,2026-02-26,10,25.651952212130503,3
CCL,True,2026-02-26,2026-02-26,3,24.781346385376125,4
SWK,True,2026-02-26,2026-02-26,10,22.893118591229754,5
UPS,True,2026-02-26,2026-02-26,6,21.157358240677926,6
IEX,True,2026-02-26,2026-02-26,6,18.685186254261055,7
IBKR,True,2026-02-26,2026-02-26,9,16.01599078426712,8
EMR,True,2026-02-26,2026-02-26,4,14.422172515898058,9
GS,True,2026-02-26,2026-02-26,16,13.242308762296528,10
DAL,True,2026-02-26,2026-02-26,6,8.5868547493426,11
WM,True,2026-02-26,2026-02-26,6,6.994732870999254,12
ROK,True,2026-02-26,2026-02-26,8,4.144945908573705,13
AFL,True,2026-02-26,2026-02-26,8,2.7072761622124464,14
ARE,True,2026-02-26,2026-02-26,2,2.4767346862405226,15
OTIS,True,2026-02-26,2026-02-26,5,2.427550885093166,16
CINF,True,2026-02-26,2026-02-26,10,-1.8273201727334931,17
BRK-B,True,2026-02-26,2026-02-26,15,-2.4836328911015726,18
