ticker,has_signal_today,last_date,most_recent_signal_date,signals_in_lookback,relative_strength,rank
ALAB,True,2026-07-10,2026-07-10,3,132.1140291707594,1
AMD,True,2026-07-10,2026-07-10,1,108.27666909796811,2
URI,True,2026-07-10,2026-07-10,8,35.29564650745254,3
CDNS,True,2026-07-10,2026-07-10,6,18.470909988501873,4
JBHT,True,2026-07-10,2026-07-10,7,17.0281130320554,5
A,True,2026-07-10,2026-07-10,8,4.26398729375197,6
CPAY,True,2026-07-10,2026-07-10,7,1.3023858469964233,7
KEY,True,2026-07-10,2026-07-10,10,0.16115024720564364,8
TFC,True,2026-07-10,2026-07-10,9,-3.6648564278825013,9
IP,True,2026-07-10,2026-07-10,4,-3.9698954491661276,10
HD,True,2026-07-10,2026-07-10,5,-6.563921998917022,11
DG,True,2026-07-10,2026-07-10,5,-10.031013016091695,12
VST,True,2026-07-10,2026-07-10,4,-10.363236730664793,13
ZBH,True,2026-07-10,2026-07-10,4,-10.895340610494886,14
ALGN,True,2026-07-10,2026-07-10,5,-11.654883543135009,15
BKNG,True,2026-07-10,2026-07-10,2,-11.790531359391899,16
BX,True,2026-07-10,2026-07-10,9,-13.312818894191425,17
