ticker,has_signal_today,last_date,most_recent_signal_date,signals_in_lookback,relative_strength,rank
COHR,True,2026-06-25,2026-06-25,12,58.052427684895356,1
RVTY,True,2026-06-25,2026-06-25,3,16.675497915598967,2
WAT,True,2026-06-25,2026-06-25,7,13.647939260943875,3
INVH,True,2026-06-25,2026-06-25,3,7.452007051229859,4
ESS,True,2026-06-25,2026-06-25,5,5.093971732644853,5
ZBRA,True,2026-06-25,2026-06-25,4,3.4998217712968627,6
CPT,True,2026-06-25,2026-06-25,5,3.401521994291068,7
MAA,True,2026-06-25,2026-06-25,4,0.15894777958269657,8
TMO,True,2026-06-25,2026-06-25,4,-10.017155721903649,9
DHR,True,2026-06-25,2026-06-25,5,-11.006154825855784,10
FAST,True,2026-06-25,2026-06-25,7,-11.789481141749025,11
CPB,True,2026-06-25,2026-06-25,5,-12.550936214737085,12
LH,True,2026-06-25,2026-06-25,7,-13.086319300943783,13
