ticker,has_signal_today,last_date,most_recent_signal_date,signals_in_lookback,relative_strength,rank
ARM,True,2026-06-12,2026-06-12,6,180.91647711069433,1
CSCO,True,2026-06-12,2026-06-12,9,41.82742785987345,2
JBL,True,2026-06-12,2026-06-12,7,32.62499014893974,3
BEN,True,2026-06-12,2026-06-12,4,22.183672800719954,4
DAL,True,2026-06-12,2026-06-12,7,15.344518769881343,5
IVZ,True,2026-06-12,2026-06-12,10,11.646494723367251,6
UAL,True,2026-06-12,2026-06-12,7,10.277384556039305,7
ANET,True,2026-06-12,2026-06-12,12,7.379957970997952,8
FDX,True,2026-06-12,2026-06-12,5,5.476482601537014,9
UPS,True,2026-06-12,2026-06-12,8,-0.46931278749453575,10
RCL,True,2026-06-12,2026-06-12,1,-4.192489541745048,11
NDSN,True,2026-06-12,2026-06-12,10,-4.5614449487011655,12
TDG,True,2026-06-12,2026-06-12,6,-7.041796795678534,13
AES,True,2026-06-12,2026-06-12,5,-8.674844520902326,14
GD,True,2026-06-12,2026-06-12,15,-9.391517320164656,15
VRTX,True,2026-06-12,2026-06-12,6,-15.285840296312648,16
NKE,True,2026-06-12,2026-06-12,4,-28.3448309793507,17
