ticker,has_signal_today,last_date,most_recent_signal_date,signals_in_lookback,relative_strength,rank
JBL,True,2026-05-21,2026-05-21,6,23.32656985205719,1
AMZN,True,2026-05-21,2026-05-21,12,21.367076240091176,2
NUE,True,2026-05-21,2026-05-21,3,21.194933000146634,3
WST,True,2026-05-21,2026-05-21,18,19.19975352980583,4
STLD,True,2026-05-21,2026-05-21,12,12.673958640733174,5
EQIX,True,2026-05-21,2026-05-21,10,6.005097512046498,6
FOX,True,2026-05-21,2026-05-21,13,3.0131371334927826,7
NI,True,2026-05-21,2026-05-21,10,-5.58715158202836,8
PSA,True,2026-05-21,2026-05-21,5,-7.407734554956802,9
REG,True,2026-05-21,2026-05-21,7,-7.851905981366114,10
INCY,True,2026-05-21,2026-05-21,19,-10.427471801088927,11
XEL,True,2026-05-21,2026-05-21,13,-11.667469089882342,12
VICI,True,2026-05-21,2026-05-21,6,-11.980917058184204,13
MTB,True,2026-05-21,2026-05-21,13,-13.527569757084223,14
