ticker,has_signal_today,last_date,most_recent_signal_date,signals_in_lookback,relative_strength,rank
WDC,True,2026-03-16,2026-03-16,7,72.49902988110523,1
FIX,True,2026-03-16,2026-03-16,6,60.35706758573491,2
LHX,True,2026-03-16,2026-03-16,13,31.742914736236806,3
EIX,True,2026-03-16,2026-03-16,10,22.909257866038637,4
PCG,True,2026-03-16,2026-03-16,14,18.018811906436973,5
CME,True,2026-03-16,2026-03-16,6,14.998276034967795,6
WELL,True,2026-03-16,2026-03-16,14,11.465272876771305,7
PEG,True,2026-03-16,2026-03-16,9,6.572481633458382,8
DOC,True,2026-03-16,2026-03-16,6,6.206657724754905,9
CSCO,True,2026-03-16,2026-03-16,12,4.1687844857400735,10
