ticker,has_signal_today,last_date,most_recent_signal_date,signals_in_lookback,relative_strength,rank
AKAM,True,2026-01-06,2026-01-06,6,34.926311233857035,1
GRMN,True,2026-01-06,2026-01-06,13,22.180878512231295,2
BMY,True,2026-01-06,2026-01-06,10,10.549726933825188,3
AMGN,True,2026-01-06,2026-01-06,5,10.347967175108641,4
BIIB,True,2026-01-06,2026-01-06,10,9.21414957394051,5
VRTX,True,2026-01-06,2026-01-06,7,2.4369018418498922,6
RL,True,2026-01-06,2026-01-06,7,1.7347900714602127,7
CPAY,True,2026-01-06,2026-01-06,6,0.20105125084192155,8
MAS,True,2026-01-06,2026-01-06,7,-1.227514743497482,9
JKHY,True,2026-01-06,2026-01-06,8,-8.881246855684976,10
ADP,True,2026-01-06,2026-01-06,2,-15.37054968252447,11
CRM,True,2026-01-06,2026-01-06,6,-25.76270655144165,12
FDS,True,2026-01-06,2026-01-06,5,-26.91103141158703,13
EPAM,True,2026-01-06,2026-01-06,6,-31.603009516270152,14
