ticker,has_signal_today,last_date,most_recent_signal_date,signals_in_lookback,relative_strength,rank
CIEN,True,2026-04-30,2026-04-30,13,103.38642866318064,1
AMAT,True,2026-04-30,2026-04-30,8,27.825196382182106,2
WAB,True,2026-04-30,2026-04-30,11,7.353307420943511,3
MAR,True,2026-04-30,2026-04-30,5,6.708183841626081,4
ATO,True,2026-04-30,2026-04-30,10,5.830840585797881,5
LNT,True,2026-04-30,2026-04-30,9,5.275569820254944,6
AEE,True,2026-04-30,2026-04-30,11,3.7645002307776565,7
EVRG,True,2026-04-30,2026-04-30,15,2.5320858959936743,8
PLD,True,2026-04-30,2026-04-30,13,0.5929141828786788,9
WEC,True,2026-04-30,2026-04-30,10,-0.664154101781711,10
COST,True,2026-04-30,2026-04-30,10,-1.0338526260422087,11
CCI,True,2026-04-30,2026-04-30,6,-1.6312382519014346,12
GS,True,2026-04-30,2026-04-30,15,-3.585525579102633,13
GWW,True,2026-04-30,2026-04-30,10,-7.5421341409731895,14
DIS,True,2026-04-30,2026-04-30,6,-7.814595685301374,15
PNC,True,2026-04-30,2026-04-30,11,-10.738243718319962,16
BX,True,2026-04-30,2026-04-30,11,-11.391644703255677,17
HBAN,True,2026-04-30,2026-04-30,9,-16.61415142342738,18
ARES,True,2026-04-30,2026-04-30,14,-19.175879529366735,19
