ticker,has_signal_today,last_date,most_recent_signal_date,signals_in_lookback,relative_strength,rank
CMCSA,True,2026-03-04,2026-03-04,8,25.457097189724763,1
HST,True,2026-03-04,2026-03-04,15,16.6517768066447,2
SBUX,True,2026-03-04,2026-03-04,14,14.214656034464623,3
FAST,True,2026-03-04,2026-03-04,6,11.961188010440893,4
HIG,True,2026-03-04,2026-03-04,7,9.924832467950184,5
REGN,True,2026-03-04,2026-03-04,9,9.706372145366792,6
VRTX,True,2026-03-04,2026-03-04,9,5.001754194790841,7
CSCO,True,2026-03-04,2026-03-04,11,3.8010503499941506,8
MGM,True,2026-03-04,2026-03-04,4,1.772826994616994,9
ARM,True,2026-03-04,2026-03-04,6,-12.090149667359295,10
