ticker,has_signal_today,last_date,most_recent_signal_date,signals_in_lookback,relative_strength,rank
AMAT,True,2026-05-05,2026-05-05,9,19.979109032349186,1
LRCX,True,2026-05-05,2026-05-05,4,15.992457006217741,2
MCO,True,2026-05-05,2026-05-05,5,-3.166923496815266,3
AME,True,2026-05-05,2026-05-05,9,-3.8130183520980854,4
FTV,True,2026-05-05,2026-05-05,12,-4.313618526916696,5
CRL,True,2026-05-05,2026-05-05,4,-4.464075149405011,6
GS,True,2026-05-05,2026-05-05,16,-6.917896843076232,7
KEY,True,2026-05-05,2026-05-05,10,-9.25150550762014,8
DAL,True,2026-05-05,2026-05-05,8,-9.817139729416514,9
FITB,True,2026-05-05,2026-05-05,9,-11.714778051359842,10
RF,True,2026-05-05,2026-05-05,11,-13.139791040992554,11
ZBRA,True,2026-05-05,2026-05-05,5,-15.70177539358374,12
