ticker,has_signal_today,last_date,most_recent_signal_date,signals_in_lookback,relative_strength,rank
PWR,True,2026-03-09,2026-03-09,4,24.249104181233385,1
CHD,True,2026-03-09,2026-03-09,7,24.086956983837293,2
AMGN,True,2026-03-09,2026-03-09,6,20.881408674207826,3
LYV,True,2026-03-09,2026-03-09,6,20.78782354059041,4
AKAM,True,2026-03-09,2026-03-09,8,19.467109702166894,5
VTR,True,2026-03-09,2026-03-09,9,12.26214052596346,6
WELL,True,2026-03-09,2026-03-09,13,10.045728872618964,7
MCD,True,2026-03-09,2026-03-09,8,7.880133925593835,8
SRE,True,2026-03-09,2026-03-09,12,6.337433904408996,9
ANET,True,2026-03-09,2026-03-09,13,4.9866143108190375,10
SMCI,True,2026-03-09,2026-03-09,4,-7.014179730910309,11
