ticker,has_signal_today,last_date,most_recent_signal_date,signals_in_lookback,relative_strength,rank
VLO,True,2026-02-03,2026-02-03,3,52.76975745470083,1
LHX,True,2026-02-03,2026-02-03,10,23.78883069434856,2
DTE,True,2026-02-03,2026-02-03,5,16.45587528424215,3
SBUX,True,2026-02-03,2026-02-03,11,13.47716786132116,4
DRI,True,2026-02-03,2026-02-03,10,11.849079743465474,5
DHI,True,2026-02-03,2026-02-03,6,-0.10715715986600038,6
C,True,2026-02-03,2026-02-03,10,-0.1717934444081637,7
TKO,True,2026-02-03,2026-02-03,7,-5.573800896287007,8
TAP,True,2026-02-03,2026-02-03,9,-5.942628575219533,9
DG,True,2026-02-03,2026-02-03,5,-9.117030151815941,10
