total_trades,win_rate,avg_return,avg_winner_return,avg_loser_return,avg_risk_reward,max_drawdown,year
4082,34.27,0.23,4.37,-1.93,3.5,-96.06,
23,26.09,0.28,6.73,-2.0,3.5,-27.62,2020.0
1450,34.62,0.27,4.41,-1.93,3.5,-88.51,2021.0
41,24.39,-0.63,3.6,-1.99,3.5,-34.27,2022.0
524,33.97,0.14,4.15,-1.92,3.5,-64.66,2023.0
1313,36.48,0.37,4.39,-1.94,3.5,-90.98,2024.0
731,30.64,0.0,4.38,-1.93,3.5,-78.01,2025.0
