ticker,signal_date,entry_date,entry_price,resistance_level,base_low,target_price,stop_price,exit_date,exit_price,exit_reason,days_held,pnl,win,risk_reward,volume_ratio,consolidation_length,base_range_pct,year
EMR,2023-08-02,2023-08-02,95.14,93.04,88.98,97.1,88.54,2023-08-03,97.1,Profit Target,1,0.020601,True,0.297,3.194,17,0.045628,2023
FANG,2023-09-01,2023-09-01,154.66,152.04,145.34,158.74,144.61,2023-09-28,158.74,Profit Target,18,0.02638,True,0.406,1.53,17,0.046099,2023
FAST,2023-12-06,2023-12-06,31.07,30.62,29.5,31.75,29.35,2023-12-12,31.75,Profit Target,4,0.022051,True,0.4,1.953,19,0.038136,2023
FOX,2023-08-08,2023-08-08,32.87,32.13,30.73,33.53,30.58,2023-08-22,30.58,Stop Loss,10,-0.069779,False,0.288,2.87,18,0.045558,2023
FOXA,2023-08-08,2023-08-08,34.93,34.29,32.72,35.87,32.55,2023-08-24,32.55,Stop Loss,12,-0.068095,False,0.393,3.913,18,0.048143,2023
GD,2023-12-04,2023-12-04,252.21,249.69,238.31,261.07,237.12,2024-01-02,261.07,Profit Target,19,0.035129,True,0.587,1.693,22,0.047753,2023
GE,2023-07-25,2023-07-25,93.5,89.51,85.28,93.73,84.86,2023-08-22,89.11,Time Exit,20,-0.046944,False,0.026,3.951,16,0.049504,2023
GILD,2023-04-21,2023-04-21,86.57,84.88,80.93,88.83,80.53,2023-04-28,80.53,Stop Loss,5,-0.069824,False,0.374,1.749,16,0.048808,2023
GIS,2023-03-23,2023-03-23,82.15,81.47,77.66,85.28,77.27,2023-03-27,85.28,Profit Target,2,0.038101,True,0.642,1.941,20,0.04906,2023
HPE,2023-08-08,2023-08-08,18.07,17.74,16.92,18.56,16.84,2023-08-18,16.84,Stop Loss,8,-0.068268,False,0.396,2.135,15,0.048401,2023
HSY,2023-03-24,2023-03-24,247.86,247.2,236.26,258.14,235.08,2023-04-04,258.14,Profit Target,7,0.041475,True,0.804,1.597,16,0.046305,2023
HSY,2023-04-27,2023-04-27,273.33,264.04,252.8,275.28,251.54,2023-05-01,275.28,Profit Target,2,0.007134,True,0.089,2.149,18,0.044462,2023
IBM,2023-07-20,2023-07-20,138.38,136.45,130.83,142.07,130.18,2023-07-27,142.07,Profit Target,5,0.026666,True,0.45,2.721,16,0.042956,2023
IBM,2023-09-20,2023-09-20,149.83,149.0,143.22,154.78,142.5,2023-09-27,142.5,Stop Loss,5,-0.048896,False,0.676,2.86,18,0.040357,2023
INVH,2023-09-15,2023-09-15,35.29,35.17,33.6,36.74,33.43,2023-09-21,33.43,Stop Loss,4,-0.05265,False,0.78,2.954,15,0.046726,2023
ITW,2023-12-08,2023-12-08,249.61,248.98,237.6,260.36,236.41,2023-12-20,260.36,Profit Target,8,0.043067,True,0.815,1.92,15,0.047896,2023
KHC,2023-05-03,2023-05-03,40.25,39.88,38.17,41.6,37.97,2023-05-26,37.97,Stop Loss,17,-0.056542,False,0.591,3.638,26,0.044936,2023
L,2023-05-01,2023-05-01,60.13,57.92,55.31,60.53,55.03,2023-05-30,57.4,Time Exit,20,-0.045402,False,0.078,1.679,18,0.047189,2023
