date,ticker,pnl,equity
2020-12-31,DVN,-0.02,0.98
2021-01-04,CB,-0.02,0.9603999999999999
2021-01-06,SLB,0.07,1.027628
2021-01-07,KLAC,0.07,1.09956196
2021-01-12,AXON,0.07,1.1765312972
2021-01-12,PFE,-0.02,1.153000671256
2021-01-13,PLTR,-0.02,1.12994065783088
2021-01-15,TDG,-0.02,1.1073418446742622
2021-01-15,NCLH,-0.02,1.085195007780777
2021-01-20,PDD,0.07,1.1611586583254314
2021-01-21,AIG,0.02089,1.1854152626978498
2021-01-25,WDAY,-0.02,1.1617069574438927
2021-01-26,DVA,-0.02,1.1384728182950148
2021-01-26,HAS,-0.02,1.1157033619291146
2021-01-26,HCA,-0.02,1.0933892946905324
2021-01-27,CBRE,-0.02,1.0715215087967216
2021-01-27,WDC,-0.02,1.050091078620787
2021-01-28,REG,0.028251,1.079757201682903
2021-01-28,VLO,-0.02,1.0581620576492448
2021-02-01,SW,-0.02,1.0369988164962598
2021-02-04,CF,-0.02,1.0162588401663346
2021-02-08,FANG,0.07,1.0873969589779782
2021-02-08,CRWD,-0.02,1.0656490197984185
2021-02-09,TTWO,-0.02,1.0443360394024501
2021-02-09,APA,-0.02,1.0234493186144011
2021-02-11,INTC,0.07,1.0950907709174094
2021-02-11,MU,0.07,1.171747124881628
2021-02-18,LLY,-0.02,1.1483121823839955
2021-02-19,KEYS,-0.02,1.1253459387363156
2021-02-22,FOXA,0.07,1.2041201544478577
2021-02-22,KLAC,-0.02,1.1800377513589004
2021-02-22,AMZN,-0.02,1.1564369963317225
2021-02-22,MELI,-0.02,1.133308256405088
2021-02-22,AXON,-0.02,1.1106420912769863
2021-02-23,BLDR,-0.02,1.0884292494514465
2021-02-24,CME,0.07,1.1646192969130478
2021-03-02,TER,-0.02,1.1413269109747868
2021-03-03,LLY,-0.02,1.1185003727552911
2021-03-03,GM,-0.02,1.0961303653001853
2021-03-04,TEL,-0.02,1.0742077579941816
2021-03-04,LII,-0.02,1.052723602834298
2021-03-10,NRG,-0.02,1.031669130777612
2021-03-12,FTNT,0.07,1.103885969932045
2021-03-12,FCX,-0.02,1.081808250533404
2021-03-15,EVRG,0.07,1.1575348280707423
2021-03-17,AMAT,-0.02,1.1343841315093275
2021-03-18,OXY,-0.02,1.111696448879141
2021-03-19,DIS,0.006053,1.1184255474842064
2021-03-19,NXPI,-0.02,1.0960570365345224
2021-03-19,MTB,-0.02,1.0741358958038318
2021-03-22,RCL,-0.02,1.0526531778877553
2021-03-23,RJF,-0.02,1.0316001143300002
2021-03-24,TSCO,0.009374,1.0412703338017297
2021-03-25,PSA,-0.02,1.020444927125695
2021-03-25,LH,-0.02,1.000036028583181
2021-03-29,HPQ,-0.02,0.9800353080115174
2021-03-30,URI,0.07,1.0486377795723236
