date,ticker,pnl,equity
2023-01-20,NEE,-0.046777,0.953223
2023-02-13,MSI,0.002725,0.9558205326750001
2023-02-14,MCD,-0.027361,0.9296683270804794
2023-03-01,WELL,-0.064152,0.8700282445616125
2023-03-07,DD,-0.081489,0.7991305129405313
2023-03-27,GIS,0.038101,0.8295781846140784
2023-03-30,CTAS,0.003934,0.8328417451923502
2023-04-04,HSY,0.041475,0.8673838565742029
2023-04-28,CL,0.035937,0.8985550302279102
2023-04-28,GILD,-0.069824,0.8358143237972766
2023-04-28,EBAY,0.017779,0.8506742666600684
2023-05-01,HSY,0.007134,0.8567429768784213
2023-05-03,RSG,0.013345,0.8681762119048637
2023-05-04,PEP,0.021717,0.8870303946988016
2023-05-08,XYL,0.041287,0.9236532186047312
2023-05-15,MKC,0.033921,0.9549844594330223
2023-05-18,SNPS,0.04389,0.9968987273575377
2023-05-19,PG,-0.018581,0.9783753521045073
2023-05-22,VRSN,0.030523,1.0082383029767932
2023-05-22,SJM,-0.047514,0.9603328682491538
2023-05-23,SW,0.012881,0.9727029159250711
2023-05-25,ROP,-0.007815,0.9651012426371166
2023-05-26,KHC,-0.056542,0.9105324881759288
2023-05-30,L,-0.045402,0.8691924921477653
2023-05-31,COR,0.005852,0.874279006611814
2023-05-31,AAPL,0.031515,0.9018319095051853
2023-06-01,ATO,-0.057719,0.8497790735204556
2023-07-07,NWSA,0.022131,0.8685855341965367
2023-07-18,MCD,0.000409,0.8689407856800232
2023-07-21,ABT,0.017437,0.8840925061599257
2023-07-27,IBM,0.026666,0.9076677169291864
2023-07-27,APH,0.015237,0.9214978499320363
2023-07-31,L,0.040033,0.9583881733583655
2023-08-02,PCG,-0.014029,0.944942945674321
2023-08-03,EMR,0.020601,0.9644097152981578
2023-08-04,CBOE,0.036091,0.9992162263329837
2023-08-04,AAPL,-0.055337,0.9439225980163954
2023-08-04,MNST,-0.053294,0.8936171870777098
2023-08-04,CDW,0.018477,0.9101285518433446
2023-08-04,CEG,0.014337,0.9231770648911227
2023-08-08,TEL,-0.054257,0.873088246881325
2023-08-08,TRI,-0.059285,0.8213272101649657
2023-08-10,BR,0.021769,0.8392066822030467
2023-08-11,CBOE,0.034966,0.8685503830529585
2023-08-14,LMT,-0.042322,0.8317915937413912
2023-08-15,OTIS,-0.058956,0.7827524885407737
2023-08-15,NDSN,-0.052138,0.7419413392932348
2023-08-17,PEP,-0.052511,0.7029812576256078
