total_trades,win_rate,avg_return,avg_winner_return,avg_loser_return,avg_risk_reward,max_drawdown,year
5214,22.84,0.54,9.09,-1.99,7.5,-99.92,
1,0.0,-2.0,,-2.0,7.5,0.0,2020.0
1484,23.72,0.65,9.14,-1.99,7.5,-93.25,2021.0
137,3.65,-1.47,12.43,-2.0,7.5,-87.29,2022.0
966,20.91,0.22,8.58,-1.99,7.5,-97.77,2023.0
1763,26.21,0.91,9.06,-1.98,7.5,-89.56,2024.0
863,19.7,0.29,9.58,-1.99,7.5,-96.44,2025.0
