ticker,has_signal_today,last_date,most_recent_signal_date,signals_in_lookback,relative_strength,rank
MCHP,True,2026-05-27,2026-05-27,2,25.355023953718113,1
AVGO,True,2026-05-27,2026-05-27,6,24.110575806418577,2
CAT,True,2026-05-27,2026-05-27,9,15.689440745657501,3
URI,True,2026-05-27,2026-05-27,9,8.261124393767405,4
FOXA,True,2026-05-27,2026-05-27,9,3.847977825149762,5
TGT,True,2026-05-27,2026-05-27,7,-4.0747906875429285,6
CFG,True,2026-05-27,2026-05-27,7,-4.6111797621882555,7
UNP,True,2026-05-27,2026-05-27,4,-5.21117541248044,8
FTV,True,2026-05-27,2026-05-27,8,-7.068527717800688,9
FER,True,2026-05-27,2026-05-27,7,-9.305770938961967,10
SWK,True,2026-05-27,2026-05-27,8,-12.966567470423772,11
EMR,True,2026-05-27,2026-05-27,3,-14.981771988627845,12
PKG,True,2026-05-27,2026-05-27,2,-16.11153146601604,13
