ticker,has_signal_today,last_date,most_recent_signal_date,signals_in_lookback,relative_strength,rank
AJG,True,2026-08-20,2026-08-20,5,25.175975374837446,1
BRO,True,2026-08-20,2026-08-20,4,23.045082014797515,2
AMCR,True,2026-08-20,2026-08-20,3,21.129444538584053,3
SJM,True,2026-08-20,2026-08-20,6,19.1261239344781,4
MRSH,True,2026-08-20,2026-08-20,3,15.81766252534711,5
WST,True,2026-08-20,2026-08-20,18,10.288820695566558,6
IFF,True,2026-08-20,2026-08-20,5,9.199606671900584,7
AOS,True,2026-08-20,2026-08-20,6,7.582965467691327,8
CMG,True,2026-08-20,2026-08-20,5,6.3358416713830135,9
PDD,True,2026-08-20,2026-08-20,3,1.7422162894772164,10
INVH,True,2026-08-20,2026-08-20,7,1.7281818946035532,11
TAP,True,2026-08-20,2026-08-20,3,-1.429561437914173,12
