ticker,has_signal_today,last_date,most_recent_signal_date,signals_in_lookback,relative_strength,rank
DLR,True,2026-05-06,2026-05-06,4,9.709975422222762,1
SBAC,True,2026-05-06,2026-05-06,11,9.501404262930201,2
HWM,True,2026-05-06,2026-05-06,9,8.211564097671475,3
NVDA,True,2026-05-06,2026-05-06,6,4.204840737346971,4
WAB,True,2026-05-06,2026-05-06,12,3.728096674652681,5
ASML,True,2026-05-06,2026-05-06,7,3.249062008285164,6
KIM,True,2026-05-06,2026-05-06,6,1.2290996630194728,7
PSA,True,2026-05-06,2026-05-06,5,-0.3307882429691489,8
BK,True,2026-05-06,2026-05-06,12,-0.3403708403722838,9
SNA,True,2026-05-06,2026-05-06,11,-3.665586127697029,10
PLD,True,2026-05-06,2026-05-06,14,-4.303750925099981,11
EXR,True,2026-05-06,2026-05-06,9,-4.322509547446418,12
O,True,2026-05-06,2026-05-06,11,-5.854269896111397,13
CVNA,True,2026-05-06,2026-05-06,8,-6.616166295026704,14
JPM,True,2026-05-06,2026-05-06,9,-7.0883743847071745,15
GWW,True,2026-05-06,2026-05-06,11,-7.5558411410965975,16
FER,True,2026-05-06,2026-05-06,8,-7.8612722235918415,17
VICI,True,2026-05-06,2026-05-06,5,-8.077698177580416,18
CFG,True,2026-05-06,2026-05-06,14,-8.883558001969494,19
MNST,True,2026-05-06,2026-05-06,10,-9.731044095593388,20
BA,True,2026-05-06,2026-05-06,11,-11.245098136866504,21
BX,True,2026-05-06,2026-05-06,12,-12.849015616561399,22
PNC,True,2026-05-06,2026-05-06,12,-13.478669441050052,23
TFC,True,2026-05-06,2026-05-06,14,-13.830406394070295,24
MELI,True,2026-05-06,2026-05-06,8,-15.120283273781777,25
HBAN,True,2026-05-06,2026-05-06,10,-16.419523798396707,26
VMC,True,2026-05-06,2026-05-06,7,-16.51465358733265,27
